birthYear,date,education,employmentStatus,ethnicity,gender,id,income,maritalStatus,participantRSA,participateReason,race,residenceCountry,session
1996,"Sat, 29 Oct 2016 20:43:48 -0500",Some College,Student,Not Hispanic or Latino,Male,966,"$75,000 through $99,999",Single,966,News story,White/European origin,United States,PRE
1996,"Sun, 03 Sep 2017 14:33:39 -0500",Some College,Student,Not Hispanic or Latino,Female,1335,"Less than $5,000","Single, but casually dating",1335,Other,White/European origin,United States,PRE
1996,"Thu, 08 Sep 2016 23:19:30 -0500",Some College,Student,Not Hispanic or Latino,Male,622,Prefer not to answer,"Single, but casually dating",622,Advertisement from other sources,White/European origin,United States,PRE
1996,"Sun, 18 Sep 2016 12:53:11 -0500",Some College,Student,Not Hispanic or Latino,Female,727,Don't know,"Single, but casually dating",727,Link from education site,White/European origin,United States,PRE
1996,"Sun, 18 Sep 2016 21:15:30 -0500",Some College,Student,Not Hispanic or Latino,Female,735,Don't know,Single,735,News story,White/European origin,United States,PRE
1996,"Mon, 19 Sep 2016 15:17:06 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,733,"$25,000 through $34,999",Single,733,"Recommendation of friend, family , acquaintance, or colleague",East Asian,United States,PRE
1996,"Thu, 22 Sep 2016 18:11:51 -0500",Some College,Student,Not Hispanic or Latino,Male,774,"Less than $5,000",Single,774,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1996,"Thu, 22 Sep 2016 22:55:44 -0500",Some College,Looking for work,Not Hispanic or Latino,Male,776,Prefer not to answer,Single,776,Other,White/European origin,Canada,PRE
1996,"Mon, 24 Sep 2018 14:14:32 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,1850,"$12,000 through $15,999",Single,1850,Link from education site,Native Hawaiian/Pacific Islander,Canada,PRE
1996,"Mon, 26 Sep 2016 13:49:08 -0500",Some College,Student,Not Hispanic or Latino,Male,798,Don't know,Single,798,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1996,"Wed, 26 Sep 2018 17:48:54 -0500",Some Graduate School,Student,Not Hispanic or Latino,Female,1853,"$12,000 through $15,999","Single, but casually dating",1853,Link from education site,White/European origin,United States,PRE
1996,"Thu, 29 Sep 2016 17:40:01 -0500",Some College,Student,Not Hispanic or Latino,Male,812,"$50,000 through $74,999","Single, but casually dating",812,Facebook post,White/European origin,United States,PRE
1996,"Sat, 29 Sep 2018 15:31:10 -0500",Some College,Student,Prefer not to answer,Female,1856,Prefer not to answer,Single,1856,"Link from blog, chat, or discussion thread",Prefer not to answer,United States,PRE
1997,"Sun, 09 Apr 2017 18:34:07 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,1173,Prefer not to answer,Single,1173,Link from education site,White/European origin,United States,PRE
1997,"Wed, 18 Apr 2018 08:38:40 -0500",Some College,Student,Hispanic or Latino,Male,1648,"$75,000 through $99,999","Single, but casually dating",1648,"Link from blog, chat, or discussion thread",Other or Unknown,Brazil,PRE
1997,"Thu, 26 Apr 2018 21:38:54 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Male,1660,"$16,000 through $24,999","Single, but casually dating",1660,"Link from blog, chat, or discussion thread",East Asian,China,PRE
1997,"Wed, 01 Aug 2018 21:17:33 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,1743,"$16,000 through $24,999",In a domestic or civil union,1743,Recommendation of teacher,White/European origin,Australia,PRE
1997,"Tue, 02 Aug 2016 15:06:41 -0500",Some College,Student,Prefer not to answer,Female,533,Prefer not to answer,"Single, but currently living with someone in a marriage-like relationship",533,Just surfing the web,White/European origin,United States,PRE
1997,"Mon, 06 Aug 2018 15:47:12 -0500",Some College,Student,Not Hispanic or Latino,Female,1746,Don't know,"Single, but casually dating",1746,Link from education site,East Asian,United States,PRE
1997,"Sun, 07 Aug 2016 23:35:27 -0500",High School Graduate,Student,Unknown,Male,539,"$16,000 through $24,999",Single,539,"Link from blog, chat, or discussion thread",White/European origin,Brazil,PRE
1997,"Thu, 30 Aug 2018 06:19:08 -0500",Prefer not to answer,Student,Prefer not to answer,Female,1781,Don't know,Other,1781,Recommendation of teacher,Black/African origin,South Africa,PRE
1997,"Thu, 30 Aug 2018 14:44:27 -0500",High School Graduate,Working part-time,Not Hispanic or Latino,Other,1787,"Less than $5,000",Single,1787,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1997,"Sun, 03 Dec 2017 17:04:16 -0500",Prefer not to answer,Prefer not to answer,Prefer not to answer,Female,1439,Prefer not to answer,Prefer not to answer,1439,Just surfing the web,Prefer not to answer,United States,PRE
1997,"Thu, 06 Dec 2018 23:35:20 -0500",Some College,Student,Not Hispanic or Latino,Female,1942,"$12,000 through $15,999","Single, but currently living with someone in a marriage-like relationship",1942,Just surfing the web,White/European origin,Canada,PRE
1997,"Wed, 01 Feb 2017 20:41:05 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,1092,"$100,000 through $149,999","Single, but currently engaged to be married",1092,Link from education site,East Asian,United States,PRE
1997,"Mon, 05 Feb 2018 00:17:31 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,1519,"$75,000 through $99,999",Single,1519,Recommendation of teacher,White/European origin,United States,PRE
1997,"Wed, 15 Feb 2017 08:44:29 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,1110,"$25,000 through $34,999",Single,1110,Link from education site,White/European origin,United Kingdom,PRE
1997,"Fri, 17 Feb 2017 00:07:23 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,1114,Don't know,Single,1114,Advertisement from other sources,White/European origin,United States,PRE
1997,"Sun, 19 Feb 2017 18:11:38 -0500",Some College,Student,Not Hispanic or Latino,Male,1116,Don't know,Single,1116,Planned search for information related to this topic,White/European origin,United States,PRE
1997,"Wed, 22 Feb 2017 17:49:56 -0500",High School Graduate,Working part-time,Not Hispanic or Latino,Female,1120,"Less than $5,000","Single, but casually dating",1120,Other,White/European origin,United Kingdom,PRE
1997,"Mon, 23 Jan 2017 19:58:09 -0500",High School Graduate,Working part-time,Not Hispanic or Latino,Female,1079,"$5,000 through $11,999",Single,1079,Link from education site,Black/African origin,United States,PRE
1997,"Mon, 23 Jan 2017 23:54:52 -0500",High School Graduate,Looking for work,Not Hispanic or Latino,Female,1080,Don't know,Single,1080,"Recommendation of friend, family , acquaintance, or colleague",East Asian,United States,PRE
1997,"Wed, 31 Jan 2018 11:57:16 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,1505,"$5,000 through $11,999","Single, but currently engaged to be married",1505,Other,White/European origin,United States,PRE
1997,"Wed, 12 Jul 2017 23:18:00 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,1257,"$100,000 through $149,999",Single,1257,Recommendation of teacher,South Asian,United States,PRE
1997,"Sun, 15 Jul 2018 21:17:50 -0500",Some College,Student,Hispanic or Latino,Female,1725,"Less than $5,000",Single,1725,Other,Black/African origin,United States,PRE
1997,"Wed, 27 Jul 2016 17:28:19 -0500",Some College,Student,Not Hispanic or Latino,Transgender,523,Don't know,Single,523,Advertisement from other sources,White/European origin,United States,PRE
1997,"Fri, 02 Jun 2017 17:48:12 -0500",Some College,Student,Not Hispanic or Latino,Female,1218,"Less than $5,000","Single, but casually dating",1218,Link from education site,White/European origin,United States,PRE
1997,"Mon, 12 Mar 2018 14:16:03 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,1595,"$16,000 through $24,999",Married,1595,Recommendation of teacher,South Asian,United States,PRE
1997,"Sun, 25 Mar 2018 15:47:32 -0500",Some College,Student,Not Hispanic or Latino,Female,1613,Prefer not to answer,"Single, but casually dating",1613,Link from education site,White/European origin,United States,PRE
1997,"Mon, 26 Mar 2018 20:42:26 -0500",Some College,Student,Not Hispanic or Latino,Female,1615,Don't know,Single,1615,Recommendation of teacher,White/European origin,United States,PRE
1997,"Fri, 30 Mar 2018 14:44:22 -0500",Some College,Student,Not Hispanic or Latino,Transgender,1622,"Less than $5,000","Single, but casually dating",1622,Other,White/European origin,United States,PRE
1997,"Tue, 29 May 2018 05:38:40 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,1686,"$75,000 through $99,999",Single,1686,Advertisement from other sources,White/European origin,Belgium,PRE
1997,"Wed, 02 Nov 2016 15:53:35 -0500",Some College,Student,Not Hispanic or Latino,Female,976,Prefer not to answer,Single,976,Recommendation of teacher,White/European origin,United States,PRE
1997,"Sun, 05 Nov 2017 17:02:24 -0500",Some College,Student,Not Hispanic or Latino,Female,1408,Don't know,"Single, but casually dating",1408,Link from education site,White/European origin,Canada,PRE
1997,"Sun, 13 Nov 2016 23:17:02 -0500",High School Graduate,Working part-time,Hispanic or Latino,Female,1003,Prefer not to answer,"Single, but currently engaged to be married",1003,Recommendation of teacher,White/European origin,United States,PRE
1997,"Tue, 15 Nov 2016 20:38:20 -0500",Some College,Student,Prefer not to answer,Other,1007,"$100,000 through $149,999",Single,1007,Advertisement from other sources,White/European origin,United States,PRE
1997,"Mon, 19 Nov 2018 16:11:46 -0500",Some College,Student,Not Hispanic or Latino,Female,1921,"$12,000 through $15,999","Single, but casually dating",1921,Planned search for information related to this topic,East Asian,United States,PRE
1997,"Mon, 02 Oct 2017 09:49:49 -0500",Some College,Working part-time,Hispanic or Latino,Female,1375,"$5,000 through $11,999",Single,1375,Recommendation of teacher,White/European origin,United States,PRE
1997,"Tue, 04 Oct 2016 15:17:24 -0500",Some College,Student,Not Hispanic or Latino,Female,819,Don't know,"Single, but casually dating",819,Other,White/European origin,United States,PRE
1997,"Tue, 11 Oct 2016 12:27:40 -0500",Some College,Student,Not Hispanic or Latino,Female,836,"$12,000 through $15,999","Single, but currently living with someone in a marriage-like relationship",836,Recommendation of teacher,White/European origin,United States,PRE
1997,"Mon, 15 Oct 2018 06:07:02 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,1880,Don't know,Single,1880,Just surfing the web,East Asian,China,PRE
1997,"Wed, 18 Oct 2017 19:34:12 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,1394,Don't know,"Single, but casually dating",1394,Link from education site,White/European origin,United States,PRE
1997,"Fri, 19 Oct 2018 13:07:52 -0500",Some College,Working full-time,Hispanic or Latino,Female,1891,Prefer not to answer,"Single, but currently living with someone in a marriage-like relationship",1891,Recommendation of teacher,White/European origin,United States,PRE
1997,"Thu, 20 Oct 2016 08:32:59 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,898,"$75,000 through $99,999",Single,898,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1997,"Thu, 20 Oct 2016 14:46:24 -0500",Some College,Student,Not Hispanic or Latino,Female,916,"$150,000 through $199,999",Single,916,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1997,"Sun, 23 Oct 2016 23:18:53 -0500",Some College,Student,Not Hispanic or Latino,Female,938,Don't know,"Single, but casually dating",938,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1997,"Sat, 01 Sep 2018 11:01:15 -0500",Some College,Student,Not Hispanic or Latino,Female,1800,"$16,000 through $24,999",In a domestic or civil union,1800,"Recommendation of friend, family , acquaintance, or colleague",Other or Unknown,Saudi Arabia,PRE
1997,"Wed, 05 Sep 2018 13:18:06 -0500",Some College,Student,Not Hispanic or Latino,Female,1807,"$25,000 through $34,999","Single, but casually dating",1807,Link from education site,White/European origin,United States,PRE
1997,"Thu, 15 Sep 2016 19:40:37 -0500",Some College,Student,Not Hispanic or Latino,Female,632,"$250,000 or greater",Single,632,Just surfing the web,White/European origin,United States,PRE
1997,"Fri, 16 Sep 2016 14:55:07 -0500",Some College,Student,Not Hispanic or Latino,Female,685,"$35,000 through $49,999","Single, but casually dating",685,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1997,"Sun, 18 Sep 2016 11:44:21 -0500",Some High School,Looking for work,Not Hispanic or Latino,Female,726,Prefer not to answer,Single,726,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1997,"Mon, 19 Sep 2016 08:45:37 -0500",,Student,Not Hispanic or Latino,Female,741,Don't know,Single,741,News story,White/European origin,United States,PRE
1997,"Tue, 20 Sep 2016 12:35:52 -0500",Some College,,Not Hispanic or Latino,Female,763,"$50,000 through $74,999",Single,763,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1997,"Sun, 25 Sep 2016 07:22:34 -0500",Some College,Student,Prefer not to answer,Male,788,Don't know,Single,788,Just surfing the web,Other or Unknown,United Kingdom,PRE
1997,"Thu, 27 Sep 2018 21:41:25 -0500",High School Graduate,Working part-time,Not Hispanic or Latino,Female,1854,"Less than $5,000",Single,1854,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1997,"Wed, 28 Sep 2016 13:07:32 -0500",High School Graduate,Student,Not Hispanic or Latino,Female,809,"$100,000 through $149,999",Single,809,"Recommendation of health professional (e.g., therapist or general practitioner)",South Asian,United States,PRE
1998,"Mon, 09 Apr 2018 18:44:34 -0500",Associate's Degree,Working part-time,Not Hispanic or Latino,Female,1632,"$150,000 through $199,999","Single, but casually dating",1632,Other,South Asian,United States,PRE
1998,"Fri, 13 Apr 2018 23:55:06 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1642,"$25,000 through $34,999",Single,1642,Advertisement from other sources,White/European origin,United States,PRE
1998,"Mon, 17 Apr 2017 12:00:45 -0500",Some College,Student,Not Hispanic or Latino,Female,1185,Don't know,Single,1185,Link from education site,South Asian,United Kingdom,PRE
